"aerostar"
"b-max"
"bronco"
"c-max"
"capri"
"connect-elekto"
"consul"
"cougar"
"courier"
"crown"
"econoline"
"econovan"
"ecosport"
"edge"
"escape"
"escort"
"excursion"
"expedition"
"explorer"
"express"
"f-1"
"f-100"
"f-150"
"f-250"
"f-350"
"f-360"
"f-450"
"f-550"
"f-650"
"f-super-duty"
"fairlane"
"falcon"
"fiesta"
"flex"
"focus"
"focus-c-max"
"focus-cc"
"freestar"
"freestyle"
"fusion"
"galaxy"
"gran-torino"
"granada"
"grand-c-max"
"gt"
"ka/ka+"
"kuga"
"m"
"maverick"
"mercury"
"mondeo"
"mustang"
"orion"
"probe"
"puma"
"ranger"
"rs-200"
"s-max"
"scorpio"
"sierra"
"sportka"
"streetka"
"taunus"
"taurus"
"thunderbird"
"torino"
"tourneo-(all)"
"tourneo"
"tourneo-connect"
"tourneo-courier"
"tourneo-custom"
"transit-(all)"
"transit"
"transit-bus"
"transit-connect"
"transit-courier"
"transit-custom"
"windstar"
