"181"
"amarok"
"anfibio"
"arteon"
"atlas"
"beetle"
"bora"
"buggy"
"bus"
"caddy"
"cc"
"coccinelle"
"corrado"
"crafter"
"cross-touran"
"derby"
"eos"
"escarabajo"
"fox"
"golf-(all)"
"cross-golf"
"golf"
"golf-cabriolet"
"golf-gti"
"golf-plus"
"golf-sportsvan"
"golf-variant"
"iltis"
"jetta"
"käfer"
"karmann-ghia"
"kever"
"l80"
"lt"
"lupo"
"maggiolino"
"new-beetle"
"passat-(all)"
"passat"
"passat-alltrack"
"passat-cc"
"passat-variant"
"phaeton"
"pointer"
"polo-(all)"
"polo"
"polo-cross"
"polo-gti"
"polo-plus"
"polo-r-wrc"
"polo-sedan"
"polo-variant"
"routan"
"santana"
"scirocco"
"sharan"
"t-cross"
"t-roc"
"t1"
"t2"
"t3-series-(all)"
"t3"
"t3-blue-star"
"t3-california"
"t3-caravelle"
"t3-kombi"
"t3-multivan"
"t3-white-star"
"t4-series-(all)"
"t4"
"t4-allstar"
"t4-california"
"t4-caravelle"
"t4-kombi"
"t4-multivan"
"t5-series-(all)"
"t5"
"t5-california"
"t5-caravelle"
"t5-kombi"
"t5-multivan"
"t5-shuttle"
"t5-transporter"
"t6-series-(all)"
"t6-california"
"t6-caravelle"
"t6-kombi"
"t6-multivan"
"t6-transporter"
"taro"
"tiguan"
"touareg"
"touran"
"transporter"
"up!"
"vento"
"xl1"
